profession,title,link,date,location,workload,emp_type,company,latitude,longitude
data scientist,Data Scientist,https://www.jobs.ch/en/vacancies/detail/9de7145c-d836-4e00-9b5d-d5f68d83d2ab/,2 weeks ago,lausanne,80 – 100%,Unlimited employment,SamanTree Medical (Switzerland) SA,46.5218269,6.6327025
data scientist,Principal Machine Learning Engineer,https://www.jobs.ch/en/vacancies/detail/d59c316b-8aa2-46af-80da-e69c5b0429e4/,Last week,bern,100%,Unlimited employment,machineMD AG,46.9484742,7.4521749
data scientist,"Head of Data Engineering (f/m/d) | 80-100% | Hybrid working model | Zurich, Switzerland",https://www.jobs.ch/en/vacancies/detail/ef10c72e-4036-4003-9d53-7d4506ae97c9/,Last week,zürich,80 – 100%,Unlimited employment,SMG Swiss Marketplace Group,47.3744489,8.5410422
data scientist,Spezialist Ereignisanalyse und Erfahrungsauswertung 80% - 100% (alle),https://www.jobs.ch/en/vacancies/detail/04c4d29e-3e85-40ab-a240-a554f5bc6956/,2 days ago,kernkraftwerk gösgen-däniken ag,100%,Unlimited employment,Kernkraftwerk Gösgen-Däniken,47.364447,7.9668683
data scientist,ML / Data Science Specialist (80-100%),https://www.jobs.ch/en/vacancies/detail/2bd5fe01-6578-4f61-9f65-60c78bdea265/,19 hours ago,bern,80 – 100%,Unlimited employment,DV Bern,46.9484742,7.4521749
data scientist,Working student in Business Intelligence/ Data analytics (f/m/d),https://www.jobs.ch/en/vacancies/detail/458511d8-5568-4927-bf71-50bfba735a8b/,Last week,gümlingen,40 – 50%,Unlimited employment,Schneider Electric (Schweiz) AG,,
data scientist,Statistische*r Datanalyst*in (60% bis 100%),https://www.jobs.ch/en/vacancies/detail/97aafa5b-0aac-4198-b784-b67b81b529c2/,4 days ago,bern,60 – 100%,Unlimited employment,SwissDRG AG,46.9484742,7.4521749
data scientist,(Senior) Data Science & Data Analytics Consultant 60-100%,https://www.jobs.ch/en/vacancies/detail/5db6db8f-fa05-4456-ad0a-3c317ad00001/,5 days ago,"zürich, lausanne, bern",60 – 100%,Unlimited employment,Eraneos Switzerland AG,,
data scientist,Analyste de données pour le controlling des achats,https://www.jobs.ch/en/vacancies/detail/53fa846d-bd0d-4ec2-94ac-c067bd11b372/,3 weeks ago,berne et travail à domicile,80 – 100%,Unlimited employment,Office fédéral constructions et logistique OFCL,,
data scientist,Head of AI & Data Science (a),https://www.jobs.ch/en/vacancies/detail/3e31c273-be96-4b5a-9cc5-197ed73afa67/,Yesterday,neuchâtel (hybrid),100%,Unlimited employment,Consult & Pepper AG,,
data scientist,Data Analyst (Focus Online-Shops),https://www.jobs.ch/en/vacancies/detail/2a56d90d-aa8a-4e66-9b6a-a56901c79fbf/,Last month,mägenwil,80 – 100%,Unlimited employment,Brack.Alltron AG,47.4122258,8.2301927
data scientist,Datenanalyst/-in Polizeiliche Lage 100%,https://www.jobs.ch/en/vacancies/detail/acaa5589-8677-4dc3-a8e2-9f0ad2f7a758/,3 weeks ago,bern,100%,Unlimited employment,Kantonspolizei Bern,46.9484742,7.4521749
data scientist,(Senior) Data Analyst Marketing (m/f/d),https://www.jobs.ch/en/vacancies/detail/aeb1d50a-523d-4413-bc88-b271df9117c9/,Last week,zürich,80 – 100%,Unlimited employment,Digitec Galaxus AG,47.3744489,8.5410422
data scientist,Datenanalyst/-in Beschaffungscontrolling,https://www.jobs.ch/en/vacancies/detail/68a2d998-d203-4a4d-ac0c-d433c7ae20c3/,3 weeks ago,berna,80 – 100%,Unlimited employment,Bundesamt für Bauten und Logistik BBL,46.9484742,7.4521749
data scientist,Responsable des données de comptage à 100%,https://www.jobs.ch/en/vacancies/detail/bdcfd2f0-b01d-4f03-afa5-fff7557f9330/,3 days ago,nyon,100%,Unlimited employment,Ville de Nyon,46.3820585,6.2402791
data scientist,Data Scientist Asset Finance & Information (alle),https://www.jobs.ch/en/vacancies/detail/00aed0e6-ee7e-49d1-8045-08d88f37c81d/,2 days ago,ostermundigen,80 – 100%,Unlimited employment,BKW Energie AG,46.9582779,7.4911242
data scientist,Digital Biomarker - Data Scientist (m/f/d) (LSW) - BS,https://www.jobs.ch/en/vacancies/detail/990475c3-0da6-45ea-a51d-43a02eb70c77/,5 hours ago,basel,80 – 100%,Temporary,Manpower SA,47.5581077,7.5878261
data scientist,Product Development Intern (f/m/d),https://www.jobs.ch/en/vacancies/detail/b2aee1dc-6c02-4d11-a756-544faaccee74/,Last month,baden,100%,Temporary,Axpo Group,47.4736827,8.3086822
data scientist,BAUINGENIEUR*IN – TECHNISCHE*R LEITER*IN - BERN,https://www.jobs.ch/en/vacancies/detail/af49f05a-ed80-41a6-b714-346dc4aa7de5/,Last month,bern,80 – 100%,Unlimited employment,VSL (Schweiz) AG,46.9484742,7.4521749
data scientist,Full Stack Software Engineer - Java 80-100%,https://www.jobs.ch/en/vacancies/detail/702b44ce-899c-427c-a3f9-496824deda5d/,11 hours ago,zollikofen,80 – 100%,Unlimited employment,Xovis AG,46.9959463,7.4576417
data scientist,Analytical Cloud Software Engineer (all genders),https://www.jobs.ch/en/vacancies/detail/a487f9b3-279d-489f-bffa-0f743b10ebc0/,3 days ago,winterthur,80 – 100%,Unlimited employment,AXA,47.4991723,8.7291498
data scientist,Data Engineer (m/f/d) - 100%,https://www.jobs.ch/en/vacancies/detail/c54a3bfd-110d-49a5-b143-4bcacf471a93/,Yesterday,baar zg,5%,Unlimited employment,ITech Consult AG,47.1951976,8.5253985
data scientist,Scientist Extractables and Leachables (LC-MS and GC-MS),https://www.jobs.ch/en/vacancies/detail/387c59cc-0786-40ab-b849-e30297c81e34/,13 hours ago,kaiseraugst,100%,Unlimited employment,Solvias AG,47.5399823,7.7230178
data scientist,Business Data Specialist,https://www.jobs.ch/en/vacancies/detail/5da3cfe7-b0ee-4725-9f8c-2f89707eb6c2/,Yesterday,chavornay,100%,Unlimited employment,SICPA,46.706261,6.5693871
data scientist,Laboratory Technician/Research Scientist (m/f/d) in Disease Control Micro Profiling Screening,https://www.jobs.ch/en/vacancies/detail/36ffe8e3-de17-4caa-b045-b36eddd09c83/,3 days ago,basel,100%,Unlimited employment,Syngenta,47.5581077,7.5878261
data scientist,Data Rule Manager (w/m/d),https://www.jobs.ch/en/vacancies/detail/a0d14834-e4c8-4542-950f-806d3ebd967a/,Yesterday,zürich,80 – 100%,Temporary,M-Industrie,47.3744489,8.5410422
data scientist,Scientific Researcher Position (80%),https://www.jobs.ch/en/vacancies/detail/ef2e99e6-4e26-49a3-a6cc-f148fb003856/,2 days ago,sion,80%,Temporary,Haute Ecole d'Ingénierie,46.2311749,7.3588795
data scientist,PhD student on enzymatic triggered biocomposite assembly,https://www.jobs.ch/en/vacancies/detail/ea4af159-05b8-4bfd-a33b-dfde6fd60812/,2 days ago,dübendorf,100%,Temporary,EMPA,47.3969942,8.6185666
data scientist,Lab Specialist – Infectious Disease & Oncology Diagnostics,https://www.jobs.ch/en/vacancies/detail/65f32d7a-871d-4bbb-98e4-714f17ad82fc/,3 days ago,rotkreuz,100%,Temporary,ELAN Personal AG,47.1417024,8.4305526
data scientist,Pricing & Data Analyst (m/w/d) - Pensum 50%,https://www.jobs.ch/en/vacancies/detail/46607273-f16b-4abc-859b-30aee20a4a39/,2 weeks ago,reinach bl,50%,Unlimited employment,Montagetechnik BERNER AG,47.4935369,7.5910891
data scientist,Senior Data Analyst (m/w/d) 80-100%,https://www.jobs.ch/en/vacancies/detail/ece83ac1-bf77-4243-a7da-4d7b9b07b81b/,2 weeks ago,volketswil,80 – 100%,Unlimited employment,blue Entertainment AG,47.3898617,8.690503
data scientist,SNSF-funded scientific research position in chemometrics or computational biology,https://www.jobs.ch/en/vacancies/detail/02f30ede-a4bb-4ab4-828c-e5f62f039c8d/,Last week,berne,100%,Temporary,INSELSPITAL,46.9484742,7.4521749
data scientist,Head of Application Science,https://www.jobs.ch/en/vacancies/detail/95afe401-04e3-4393-8ee1-92d050b21008/,4 weeks ago,epalinges,80 – 100%,Unlimited employment,ORYL Photonics SA,46.547327,6.6726245
data scientist,Inventory and Sample Coordinator,https://www.jobs.ch/en/vacancies/detail/f93b39d2-a55e-40ba-b222-780a8da06d7d/,3 weeks ago,arbon,100%,Unlimited employment,Nutreco Switzerland GmbH,47.5149257,9.4304026
data scientist,Projektleiter:in Aufbau Geschäftsstelle FaBe PSM,https://www.jobs.ch/en/vacancies/detail/19eb2a5c-f355-4dd7-b0b0-518591277d6a/,Last month,bern,80 – 100%,Unlimited employment,Lutz & Partner AG Human Resources,46.9484742,7.4521749
data scientist,Mitarbeiter/-in Kundensupport Heimtiere (Customer Contact Center) in D/F (w/m/d) 80–100%,https://www.jobs.ch/en/vacancies/detail/b72d714d-ec9e-4d6f-93a2-a3ff27ac3e70/,Last week,bern,80 – 100%,Unlimited employment,Identitas AG,46.9484742,7.4521749
data scientist,Senior Data Scientist,https://www.jobs.ch/en/vacancies/detail/b5f4ec3c-e1a1-47d3-9b75-c32a2f3cbe7e/,2 months ago,zürich,100%,On AG,Not specified,47.3744489,8.5410422
data scientist,Data Scientist (m/w/d),https://www.jobs.ch/en/vacancies/detail/98e38798-f818-411c-850a-85e2fca3caf6/,Yesterday,basel,80 – 100%,Unlimited employment,Rocken®,47.5581077,7.5878261
data scientist,Data Scientist/Analyst Group Internal Audit 100% (f/m/d),https://www.jobs.ch/en/vacancies/detail/36f3f14d-0951-4f86-8baf-bf3173906b57/,2 days ago,zürich,100%,Bank Julius Bär & Co. AG,Not specified,47.3744489,8.5410422
data scientist,Data Analyst,https://www.jobs.ch/en/vacancies/detail/18888e01-1c25-4db5-918d-2c3b77e3f567/,Last quarter,"warsaw, masovian voivodeship, poland",100%,Unlimited employment,Scandit AG,,
data analyst,Business Analyst - Finance & Accounting (100 %),https://www.jobs.ch/en/vacancies/detail/1de014ff-e4e4-481a-8051-64191c3673d9/,3 days ago,basel,100%,Unlimited employment,Bank CIC (Schweiz) AG,47.5581077,7.5878261
data analyst,Data Analyst (Focus Online-Shops),https://www.jobs.ch/en/vacancies/detail/2a56d90d-aa8a-4e66-9b6a-a56901c79fbf/,Last month,mägenwil,80 – 100%,Unlimited employment,Brack.Alltron AG,47.4122258,8.2301927
data analyst,(Senior) Data Analyst Marketing (m/f/d),https://www.jobs.ch/en/vacancies/detail/aeb1d50a-523d-4413-bc88-b271df9117c9/,Last week,zürich,80 – 100%,Unlimited employment,Digitec Galaxus AG,47.3744489,8.5410422
data analyst,Spezialist Ereignisanalyse und Erfahrungsauswertung 80% - 100% (alle),https://www.jobs.ch/en/vacancies/detail/04c4d29e-3e85-40ab-a240-a554f5bc6956/,2 days ago,kernkraftwerk gösgen-däniken ag,100%,Unlimited employment,Kernkraftwerk Gösgen-Däniken,47.364447,7.9668683
data analyst,ML / Data Science Specialist (80-100%),https://www.jobs.ch/en/vacancies/detail/2bd5fe01-6578-4f61-9f65-60c78bdea265/,19 hours ago,bern,80 – 100%,Unlimited employment,DV Bern,46.9484742,7.4521749
data analyst,Working student in Business Intelligence/ Data analytics (f/m/d),https://www.jobs.ch/en/vacancies/detail/458511d8-5568-4927-bf71-50bfba735a8b/,Last week,gümlingen,40 – 50%,Unlimited employment,Schneider Electric (Schweiz) AG,,
data analyst,Statistische*r Datanalyst*in (60% bis 100%),https://www.jobs.ch/en/vacancies/detail/97aafa5b-0aac-4198-b784-b67b81b529c2/,4 days ago,bern,60 – 100%,Unlimited employment,SwissDRG AG,46.9484742,7.4521749
data analyst,(Senior) Data Science & Data Analytics Consultant 60-100%,https://www.jobs.ch/en/vacancies/detail/5db6db8f-fa05-4456-ad0a-3c317ad00001/,5 days ago,"zürich, lausanne, bern",60 – 100%,Unlimited employment,Eraneos Switzerland AG,,
data analyst,"Head of Data Engineering (f/m/d) | 80-100% | Hybrid working model | Zurich, Switzerland",https://www.jobs.ch/en/vacancies/detail/ef10c72e-4036-4003-9d53-7d4506ae97c9/,Last week,zürich,80 – 100%,Unlimited employment,SMG Swiss Marketplace Group,47.3744489,8.5410422
data analyst,Analyste de données pour le controlling des achats,https://www.jobs.ch/en/vacancies/detail/53fa846d-bd0d-4ec2-94ac-c067bd11b372/,3 weeks ago,berne et travail à domicile,80 – 100%,Unlimited employment,Office fédéral constructions et logistique OFCL,,
data analyst,Head of AI & Data Science (a),https://www.jobs.ch/en/vacancies/detail/3e31c273-be96-4b5a-9cc5-197ed73afa67/,Yesterday,neuchâtel (hybrid),100%,Unlimited employment,Consult & Pepper AG,,
data analyst,Datenanalyst/-in Polizeiliche Lage 100%,https://www.jobs.ch/en/vacancies/detail/acaa5589-8677-4dc3-a8e2-9f0ad2f7a758/,3 weeks ago,bern,100%,Unlimited employment,Kantonspolizei Bern,46.9484742,7.4521749
data analyst,Datenanalyst/-in Beschaffungscontrolling,https://www.jobs.ch/en/vacancies/detail/68a2d998-d203-4a4d-ac0c-d433c7ae20c3/,3 weeks ago,berna,80 – 100%,Unlimited employment,Bundesamt für Bauten und Logistik BBL,46.9484742,7.4521749
data analyst,Principal Machine Learning Engineer,https://www.jobs.ch/en/vacancies/detail/d59c316b-8aa2-46af-80da-e69c5b0429e4/,Last week,bern,100%,Unlimited employment,machineMD AG,46.9484742,7.4521749
data analyst,Data Scientist,https://www.jobs.ch/en/vacancies/detail/9de7145c-d836-4e00-9b5d-d5f68d83d2ab/,2 weeks ago,lausanne,80 – 100%,Unlimited employment,SamanTree Medical (Switzerland) SA,46.5218269,6.6327025
data analyst,Responsable des données de comptage à 100%,https://www.jobs.ch/en/vacancies/detail/bdcfd2f0-b01d-4f03-afa5-fff7557f9330/,3 days ago,nyon,100%,Unlimited employment,Ville de Nyon,46.3820585,6.2402791
data analyst,Pricing & Data Analyst (m/w/d) - Pensum 50%,https://www.jobs.ch/en/vacancies/detail/46607273-f16b-4abc-859b-30aee20a4a39/,2 weeks ago,reinach bl,50%,Unlimited employment,Montagetechnik BERNER AG,47.4935369,7.5910891
data analyst,Senior Data Analyst (m/w/d) 80-100%,https://www.jobs.ch/en/vacancies/detail/ece83ac1-bf77-4243-a7da-4d7b9b07b81b/,2 weeks ago,volketswil,80 – 100%,Unlimited employment,blue Entertainment AG,47.3898617,8.690503
data analyst,Digital Biomarker - Data Scientist (m/f/d) (LSW) - BS,https://www.jobs.ch/en/vacancies/detail/990475c3-0da6-45ea-a51d-43a02eb70c77/,5 hours ago,basel,80 – 100%,Temporary,Manpower SA,47.5581077,7.5878261
data analyst,Business Analyst / Data Architect,https://www.jobs.ch/en/vacancies/detail/f91d2461-f56f-4496-871f-b0d37dc72ba2/,2 days ago,fribourg,100%,Unlimited employment,Cremo SA,46.6789116,7.1027113
data analyst,Lead Business Analyst MDM (mw/d),https://www.jobs.ch/en/vacancies/detail/b54fe055-c391-4132-b8e4-739739f5cca6/,8 hours ago,zürich,100%,Temporary,ITech Consult AG,47.3744489,8.5410422
data analyst,Data Engineer,https://www.jobs.ch/en/vacancies/detail/417b806b-f70f-4002-8cc4-a732404025ce/,3 days ago,lausanne,100%,Unlimited employment,CHF 83 000 - 102 000 /year,46.5218269,6.6327025
data analyst,Business Analyst,https://www.jobs.ch/en/vacancies/detail/07affdc9-76e1-41c9-bb7f-a416f1eef9ac/,Yesterday,bern,80 – 100%,Unlimited employment,RUAG AG,46.9484742,7.4521749
data analyst,Business Analyst (a) in Zürich,https://www.jobs.ch/en/vacancies/detail/3dc85c2e-1249-4925-a24a-834d07c4e2a5/,11 hours ago,"zürich, winterthur, frauenfeld, schaffhausen",80 – 100%,Unlimited employment,Axept Business Software AG,,
data analyst,Senior Application Analyst 80–100 % (m/w/d),https://www.jobs.ch/en/vacancies/detail/ac06e3cc-b22a-4c19-b7ff-4ef3a3e8fa1e/,12 hours ago,balzers,100%,Unlimited employment,Bank Frick AG,47.0540765,9.4996436
data analyst,"Treasury Operations Analyst (w/m), 80-100 %, Rorschach",https://www.jobs.ch/en/vacancies/detail/5add554e-0ce8-443e-8338-96ec161027dc/,Yesterday,rorschach,80 – 100%,Unlimited employment,Würth Management AG,47.4779686,9.4914025
data analyst,Senior HR Business Analyst Workday and ServiceNow 100%,https://www.jobs.ch/en/vacancies/detail/46e28a3e-7f98-4152-98d3-87becf4911e3/,2 days ago,basel-city,100%,Temporary,Michael Page,47.5579097,7.5927728
data analyst,Pricing and Business Analyst,https://www.jobs.ch/en/vacancies/detail/9f08d0fb-47ca-4d1e-9954-7a0fb7c776cb/,3 days ago,prilly,100%,Unlimited employment,SICPA,46.534566,6.6055827
data analyst,Business Data Specialist,https://www.jobs.ch/en/vacancies/detail/5da3cfe7-b0ee-4725-9f8c-2f89707eb6c2/,Yesterday,chavornay,100%,Unlimited employment,SICPA,46.706261,6.5693871
data analyst,Business Analyst - Finance & Accounting (100 %),https://www.jobs.ch/en/vacancies/detail/1de014ff-e4e4-481a-8051-64191c3673d9/,3 days ago,basel,100%,Unlimited employment,Bank CIC (Schweiz) AG,47.5581077,7.5878261
data analyst,Quantitative Analyst (all),https://www.jobs.ch/en/vacancies/detail/13f078fc-3234-456d-b3f3-df2bc2e52e1d/,Last week,bern,80 – 100%,Unlimited employment,BKW Energie AG,46.9484742,7.4521749
data analyst,Group Data Architect - 100% Be the architect of data that drives innovation across Europe's leading,https://www.jobs.ch/en/vacancies/detail/dc8b0893-15b2-4e21-b586-461031371cb5/,2 weeks ago,"cham, switzerland",100%,Unlimited employment,Selecta AG,,
data analyst,Data Scientist Asset Finance & Information (alle),https://www.jobs.ch/en/vacancies/detail/00aed0e6-ee7e-49d1-8045-08d88f37c81d/,2 days ago,ostermundigen,80 – 100%,Unlimited employment,BKW Energie AG,46.9582779,7.4911242
data analyst,Business Analyst - Payments (100 %),https://www.jobs.ch/en/vacancies/detail/4729cebf-e760-4057-9ca3-edb711f3a370/,4 days ago,basel,100%,Unlimited employment,Bank CIC (Schweiz) AG,47.5581077,7.5878261
data analyst,Functional Analyst Syteline ERP 100% (m/f/d),https://www.jobs.ch/en/vacancies/detail/72fa7ab0-d101-4823-a8a5-ea17f5de69b3/,3 weeks ago,witterswil,100%,Unlimited employment,Ovivo Switzerland AG,47.4858554,7.5248795
data analyst,Aftermarket Business Analyst (a),https://www.jobs.ch/en/vacancies/detail/c3e76466-ab54-407f-87dc-3482e97f2855/,Last week,stans,100%,Unlimited employment,Pilatus Flugzeugwerke AG,46.9570611,8.3661026
data analyst,Product Owner Fachbereich «Fakturierung / Debitoren» 60-100% (m/w/d) / Eintritt nach Vereinbarung,https://www.jobs.ch/en/vacancies/detail/8f1ef316-2bcb-4c7b-b461-2fd24ce0446c/,Yesterday,baldegg,60 – 100%,Unlimited employment,Dialog Verwaltungs-Data AG,47.1856852,8.2801699
data analyst,(Senior) Business Analyst Öffentliche Verwaltung 60-100%,https://www.jobs.ch/en/vacancies/detail/6639f057-5742-4217-a543-8acacefeb7f8/,5 days ago,"zürich, lausanne, bern",60 – 100%,Unlimited employment,Eraneos Switzerland AG,,
data analyst,Senior Business Analyst SAC & Datasphere,https://www.jobs.ch/en/vacancies/detail/f663bc44-1f7a-49cb-97cf-b4c526dddea5/,2 weeks ago,bern,60 – 100%,Unlimited employment,BKW Energie AG,46.9484742,7.4521749
data analyst,Data Rule Manager (w/m/d),https://www.jobs.ch/en/vacancies/detail/a0d14834-e4c8-4542-950f-806d3ebd967a/,Yesterday,zürich,80 – 100%,Temporary,M-Industrie,47.3744489,8.5410422
data analyst,IT-Support & Business Analyst 80 - 100%,https://www.jobs.ch/en/vacancies/detail/c5ec4efe-a820-43d4-af1a-9f608124ce4b/,Last week,cham,80 – 100%,Unlimited employment,Heusser Water Solutions AG,47.1823761,8.4611036
python developer,Software Developer (80%) - Hybrid (CH only),https://www.jobs.ch/en/vacancies/detail/67d1c404-f715-4c2a-a379-57f1d58baa9c/,12 hours ago,8001 / zürich,100%,Temporary,Albedis,47.3726868,8.5416947
python developer,Agile Developer in Test,https://www.jobs.ch/en/vacancies/detail/cd849f9e-6ee5-48bc-9062-7ec7abbb7cbe/,Yesterday,zürich,80 – 100%,Unlimited employment,ti&m AG,47.3744489,8.5410422
